Listado de táxones por cuadrícula (Cuadrícula: 30STF95)
 Abies pinsapo
 Acacia melanoxylon
 Acer monspessulanum
 Adenocarpus telonensis
 Aegilops neglecta
 Aegilops triuncialis
 Agrostis curtisii
 Airopsis tenella
 Ajuga iva
 Alisma lanceolatum
 Allium ampeloprasum
 Allium roseum
 Allium sphaerocephalon
 Allium triquetrum
 Amaranthus hypochondriacus
 Ammi visnaga
 Ammoides pusilla
 Anacyclus clavatus
 Anarrhinum laxiflorum
 Anchusa azurea
 Andryala integrifolia
 Anthemis pedunculata
 Anthyllis cytisoides
 Antirrhinum australe
 Antirrhinum graniticum
 Aphanes cornucopioides
 Arbutus unedo
 Arenaria armerina subsp. armerina
 Arenaria arundana
 Arenaria hispanica
 Arenaria leptoclados
 Argantoniella salzmannii
 Argyrolobium zanonii
 Aristolochia baetica
 Aristolochia paucinervis
 Arthrocnemum macrostachyum
 Asparagus albus
 Asperula hirsuta
 Asphodelus ramosus
 Asplenium billotii
 Asplenium onopteris
 Asplenium petrarchae subsp. petrarchae
 Asplenium trichomanes subsp. quadrivalens
 Asplenium trichomanes
 Astragalus epiglottis
 Astragalus hamosus
 Astragalus pelecinus
 Atriplex prostrata
 Avena barbata
 Avenula gervaisii subsp. arundana
 Avenula sulcata subsp. albinervis
 Avenula sulcata subsp. occidentalis
 Ballota hirsuta
 Bartsia trixago
 Bellis perennis
 Berberis vulgaris subsp. australis
 Biscutella auriculata
 Biscutella baetica
 Biscutella frutescens
 Biscutella sempervirens subsp. sempervirens
 Biscutella valentina subsp. valentina
 Bituminaria bituminosa
 Bombycilaena erecta
 Borago officinalis
 Brachypodium phoenicoides
 Brachypodium retusum
 Brachypodium sylvaticum
 Bromus hordeaceus
 Bromus lanceolatus
 Bromus madritensis
 Bromus rigidus
 Bupleurum fruticescens subsp. spinosum
 Bupleurum rigidum subsp. paniculatum
 Calamintha nepeta subsp. nepeta
 Calendula arvensis
 Calicotome villosa
 Calluna vulgaris
 Campanula specularioides
 Capsella bursa-pastoris
 Carduncellus arborescens
 Carduus pycnocephalus
 Carduus tenuiflorus
 Carex distachya
 Carex divulsa
 Castanea sativa
 Celtica gigantea
 Centaurea clementei
 Centaurea pullata subsp. pullata
 Centaurium grandiflorum
 Centranthus macrosiphon
 Cephalanthera longifolia
 Cerastium brachypetalum
 Cerastium gibraltaricum
 Ceratonia siliqua
 Ceterach officinarum
 Chaenorhinum crassifolium
 Chaenorhinum rubrifolium subsp. rubrifolium
 Chaenorhinum rubrifolium
 Chaenorhinum villosum subsp. villosum
 Chamaerops humilis
 Chamaesyce nutans
 Cheilanthes acrostica
 Cheilanthes guanchica
 Cheilanthes maderensis
 Chenopodium ambrosioides
 Cicendia filiformis
 Cirsium vulgare
 Cistus albidus
 Cistus crispus
 Cistus salviifolius
 Cladanthus mixtus
 Clematis flammula
 Clematis vitalba
 Cleonia lusitanica
 Clinopodium vulgare
 Conium maculatum
 Convolvulus althaeoides
 Convolvulus arvensis
 Convolvulus tricolor subsp. tricolor
 Coronilla juncea
 Crambe filiformis
 Crataegus monogyna
 Crepis capillaris
 Crepis vesicaria
