Listado de táxones por cuadrícula (Cuadrícula: 30TVK15)
Anagallis tenella
Anchusa undulata
Apium inundatum
Bromus hordeaceus
Bromus rubens
Bromus tectorum
Coincya monensis subsp. orophila
Euphorbia matritensis
Gnaphalium uliginosum
Hypericum australe
Isolepis pseudosetacea
Juncus articulatus
Juncus hybridus
Juncus pygmaeus
Juncus tenageia
Lavandula pedunculata
Lythrum borysthenicum
Mentha pulegium
Mentha suaveolens
Myosotis discolor
Ornithopus compressus
Polygonum hydropiper
Pulicaria arabica subsp. hispanica
Ranunculus penicillatus
Sagina procumbens
Senecio vulgaris
Stellaria alsine
Veronica anagallis-aquatica subsp. anagallis-aquatica
