;;;;;;
                                                                                                                                                            ;NOMBRE CIENTIFICO ;NOMBRE COMUN;"CATEGORIA DE AMENAZA 
LISTADO Y CATALOGO ANDALUZ ";"PLANES DE RECUPERACION Y CONSERVACION DE ESPECIES 
AMENAZADAS";ANEXOS DIRECTIVA HABITATS;ANEXO I DIRECTIVA AVES
anfibios;Lissotriton boscai (antes Triturus boscai);Tritón ibérico;LISTADO;;;
anfibios;Pleurodeles waltl;Gallipato;LISTADO;;;
anfibios;Salamandra salamandra sub. Longirostris;;LISTADO;;;
anfibios;Triturus pygmaeus ;Tritón pigmeo;LISTADO;;;
anfibios;Alytes cisternasii;Sapo partero ibérico;LISTADO;;IV;
anfibios;Alytes dickhilleni ;Sapo partero bético;VU;;;
anfibios;Discoglossus galganoi;Sapillo pintojo ibérico;LISTADO;;II, IV;
anfibios;Discoglossus jeanneae;Sapillo pintojo meridional;LISTADO;;II, IV;
anfibios;Pelobates cultripes;Sapo de espuelas;LISTADO;;IV;
anfibios;Pelodytes ibericus (antes P. punctatus);Sapillo moteado ibérico;LISTADO;;;
anfibios;Pelodytes punctatus;Sapillo moteado común;LISTADO;;;
anfibios;Hyla arborea;Ranita de San Antón;LISTADO;;IV;
anfibios;Hyla meridionalis  ;Ranita meridional;LISTADO;;IV;
anfibios;Bufo calamita;Sapo corredor;LISTADO;;IV;
aves;Gavia immer;Colimbo grande;LISTADO;;;x
aves;Gavia stellata;Colimbo chico;LISTADO;;;x
aves;Podiceps cristatus;Somormujo lavanco;LISTADO;;;
aves;Podiceps nigricollis;Zampullín cuellinegro;LISTADO;;;
aves;Tachybaptus ruficollis;Zampullín común;LISTADO;;;
aves;Calonectris diomedea diomedea;Pardela cenicienta;VU;;;x
aves;Puffinus griseus;Pardela sombría;LISTADO;;;
aves;Puffinus mauretanicus;Pardela balear;EN;;;x
aves;Puffinus yelkouan;Pardela mediterránea;LISTADO;;;x
aves;Hydrobates pelagicus;Paíño europeo;LISTADO;;;x
aves;Oceanodroma leucorhoa;Paíño boreal;LISTADO;;;x
aves;Phalacrocorax aristotelis  ;Cormorán moñudo;VU;;;x
aves;Morus bassanus;Alcatraz atlántico;LISTADO;;;
aves;Ardea cinerea;Garza real;LISTADO;;;
aves;Ardea purpurea;Garza imperial;LISTADO;;;x
aves;Ardeola ralloides  ;Garcilla cangrejera;EN;AVES DE HUMEDALES;;x
aves;Bubulcus ibis;Garcilla bueyera;LISTADO;;;
aves;Botaurus stellaris  ;Avetoro común;EN;AVES DE HUMEDALES;;x
aves;Egretta alba;Garceta grande;LISTADO;;;x
aves;Egretta garzetta;Garceta común;LISTADO;;;x
aves;Ixobrychus minutus;Avetorillo común;LISTADO;;;x
aves;Nycticorax nycticorax;Martinete común;LISTADO;;;x
aves;Ciconia ciconia;Cigüeña blanca;LISTADO;;;x
aves;Ciconia nigra  ;Cigüeña negra;EN;;;x
aves;Platalea leucorodia;Espátula común;LISTADO;;;x
aves;Plegadis falcinellus;Morito común;LISTADO;;;x
aves;Phoenicopterus (ruber) roseus;Flamenco común;LISTADO;;;x
aves;Aythya marila;Porrón bastardo;LISTADO;;;
aves;Aythya nyroca  ;Porrón pardo;EN;AVES DE HUMEDALES;;x
aves;Branta bernicla;Barnacla carinegra;LISTADO;;;
aves;Branta leucopsis;Barnacla cariblanca;LISTADO;;;x
aves;Marmaronetta angustirostris;Cerceta pardilla;EN;AVES DE HUMEDALES;;x
aves;Oxyura leucocephala;Malvasía cabeciblanca;EN;AVES DE HUMEDALES;;x
aves;Tadorna ferruginea;Tarro canelo;LISTADO;;;x
aves;Tadorna tadorna;Tarro blanco;LISTADO;;;
aves;Pandion haliaetus;Águila pescadora;VU;AVES DE HUMEDALES;;x
aves;Accipiter gentilis;Azor común;LISTADO;;;x
aves;Accipiter nisus;Gavilán común;LISTADO;;;x
aves;Aegypius monachus;Buitre negro;VU;AVES NECRÓFAGAS;;x
aves;Aquila adalberti  ;Águila imperial ibérica;EN;AGUILA IMPERIAL IBÉRICA;;x
aves;Aquila chrysaetos;Águila real;LISTADO;;;x
aves;Buteo buteo;Ratonero común;LISTADO;;;
aves;Circaetus gallicus;Águila culebrera;LISTADO;;;x
aves;Circus aeruginosus;Aguilucho lagunero occidental;LISTADO;;;x
aves;Circus cyaneus;Aguilucho pálido;LISTADO;;;x
aves;Circus pygargus  ;Aguilucho cenizo;VU;AVES ESTEPARIAS;;x
aves;Elanus caeruleus;Elanio común;LISTADO;;;x
aves;Gypaetus barbatus;Quebrantahuesos;EN;AVES NECRÓFAGAS;;x
aves;Gyps fulvus;Buitre leonado;LISTADO;;;x
aves;Hieraaetus fasciatus  ;Águila perdicera;VU;;;x
aves;Hieraaetus pennatus;Águila calzada;LISTADO;;;x
aves;Milvus migrans;Milano negro;LISTADO;;;x
aves;Milvus milvus ;Milano real;EN;AVES NECRÓFAGAS;;x
aves;Neophron percnopterus  ;Alimoche común;EN;AVES NECRÓFAGAS;;x
aves;Pernis apivorus;Halcón abejero;LISTADO;;;x
aves;Falco columbarius;Esmerejón;LISTADO;;;x
aves;Falco naumanni;Cernícalo primilla;LISTADO;;;x
aves;Falco peregrinus;Halcón peregrino;LISTADO;;;x
aves;Falco subbuteo;Alcotán europeo;LISTADO;;;
aves;Falco tinnunculus;Cernícalo común;LISTADO;;;
aves;Turnix sylvatica;Torillo ;EN;AVES ESTEPARIAS;;x
aves;Grus grus;Grulla común;LISTADO;;;x
aves;Crex crex;Guión de codornices;LISTADO;;;x
aves;Fulica cristata; Focha cornuda o moruna;EN;AVES DE HUMEDALES;;x
aves;Porphyrio porphyrio;Calamón común;LISTADO;;;x
aves;Porzana parva;Polluela bastarda;LISTADO;;;x
aves;Porzana porzana;Polluela pintoja;LISTADO;;;x
aves;Porzana pusilla;Polluela chica;LISTADO;;;x
aves;Otis tarda;Avutarda común;EN;AVES ESTEPARIAS;;x
aves;Tetrax tetrax;Sisón común;VU;AVES ESTEPARIAS;;x
aves;Haematopus ostralegus;Ostrero euroasiático;LISTADO;;;
aves;Himantopus himantopus;Cigüeñuela común;LISTADO;;;x
aves;Recurvirostra avosetta;Avoceta común;LISTADO;;;x
aves;Burhinus oedicnemus ;Alcaraván común;LISTADO;;;x
aves;Cursorius cursor ;Corredor sahariano;LISTADO;;;x
aves;Glareola pratincola;Canastera común;LISTADO;;;x
aves;Charadrius alexandrinus;Chorlitejo patinegro;LISTADO;;;x
aves;Charadrius dubius;Chorlitejo chico;LISTADO;;;
aves;Charadrius hiaticula;Chorlitejo grande;LISTADO;;;
aves;Charadrius (Eudromias) morinellus ;Chorlito carambolo;VU;;;x
aves;Pluvialis apricaria;Chorlito dorado europeo;LISTADO;;;x
aves;Pluvialis squatarola   ;Chorlito gris;LISTADO;;;
aves;Actitis hypoleucos  ;Andarríos chico;LISTADO;;;
aves;Arenaria interpres;Vuelvepiedras común;LISTADO;;;
aves;Calidris alba;Correlimos tridáctilo;LISTADO;;;
aves;Calidris alpina;Correlimos común ;LISTADO;;;
aves;Calidris canutus;Correlimos gordo;LISTADO;;;
aves;Calidris ferruginea;Correlimos zarapitín;LISTADO;;;
aves;Calidris maritima;Correlimos oscuro;LISTADO;;;
aves;Calidris minuta;Correlimos menudo;LISTADO;;;
aves;Calidris temminckii;Correlimos de Temminck;LISTADO;;;
aves;Limosa lapponica;Aguja colipinta;LISTADO;;;x
aves;Limosa limosa;Aguja colinegra;LISTADO;;;
aves;Numenius arquata;Zarapito real;LISTADO;;;
aves;Numenius phaeopus  ;Zarapito trinador;LISTADO;;;
aves;Phalaropus fulicarius;Faloropo picogrueso;LISTADO;;;
aves;Phalaropus lobatus;Faloropo picofino;LISTADO;;;x
aves;Philomachus pugnax;Combatiente;LISTADO;;;x
aves;Tringa erythropus   ;Archibebe oscuro;LISTADO;;;
aves;Tringa glareola;Andarríos bastardo;LISTADO;;;x
aves;Tringa nebularia  ;Archibebe claro;LISTADO;;;
aves;Tringa ochropus;Andarríos grande;LISTADO;;;
aves;Tringa stagnatilis;Archibebe fino;LISTADO;;;
aves;Tringa totanus;Archibebe común;LISTADO;;;
aves;Stercorarius parasiticus  ;Págalo parásito;LISTADO;;;
aves;Stercorarius pomarinus  ;Págalo pomarino;LISTADO;;;
aves;Stercorarius skua  ;Págalo grande;LISTADO;;;
aves;Larus audouinii;Gaviota de Audouin;VU;;;x
aves;Larus canus;Gaviota cana;LISTADO;;;
aves;Larus genei;Gaviota picofina;LISTADO;;;x
aves;Larus marinus;Gavión atlántico;LISTADO;;;
aves;Larus melanocephalus;Gaviota cabecinegra;LISTADO;;;x
aves;Larus minutus;Gaviota enana;LISTADO;;;x
aves;Rissa tridactyla;Gaviota tridáctila;LISTADO;;;
aves;Chlidonias hybridus;Fumarel cariblanco;LISTADO;;;x
aves;Chlidonias leucopterus;Fumarel aliblanco;LISTADO;;;
aves;Chlidonias niger;Fumarel común;EN;AVES DE HUMEDALES;;x
aves;Gelochelidon nilotica ;Pagaza piconegra;LISTADO;;;x
aves;Sterna (Thalasseus) sandvicensis;Charrán patinegro;LISTADO;;;x
aves;Sterna albifrons;Charrancito común;LISTADO;;;x
aves;Sterna caspia;Pagaza piquirroja;LISTADO;;;x
aves;Sterna hirundo;Charrán común;LISTADO;;;x
aves;Alca torda  ;Alca común ;LISTADO;;;
aves;Fratercula arctica;Frailecillo atlántico;LISTADO;;;
aves;Uria aalge;Arao común;LISTADO;;;x
aves;Pterocles alchata;Ganga común;VU;AVES ESTEPARIAS;;x
aves;Pterocles orientalis;Ortega;VU;AVES ESTEPARIAS;;x
aves;Clamator glandarius;Críalo europeo;LISTADO;;;
aves;Cuculus canorus;Cuco;LISTADO;;;
aves;Tyto alba alba;Lechuza común;LISTADO;;;
aves;Asio flammeus;Búho campestre;LISTADO;;;x
aves;Asio otus;Búho chico;LISTADO;;;
aves;Athene noctua;Mochuelo común ;LISTADO;;;
aves;Bubo bubo;Búho real;LISTADO;;;x
aves;Otus scops;Autillo europeo;LISTADO;;;
aves;Strix aluco;Cárabo común;LISTADO;;;
aves;Caprimulgus europaeus;Chotacabras europeo;LISTADO;;;x
aves;Caprimulgus ruficollis;Chotacabras pardo;LISTADO;;;
aves;Apus apus;Vencejo común;LISTADO;;;
aves;Apus caffer;Vencejo cafre;LISTADO;;;x
aves;Apus melba ;Vencejo real;LISTADO;;;
aves;Apus pallidus;Vencejo pálido;LISTADO;;;
aves;Alcedo atthis;Martín pescador;LISTADO;;;x
aves;Coracias garrulus;Carraca;LISTADO;;;x
aves;Merops apiaster;Abejaruco común;LISTADO;;;
aves;Upupa epops;Abubilla;LISTADO;;;
aves;Dendrocopos major;Pico picapinos;LISTADO;;;
aves;Dendrocopos minor;Pico menor;LISTADO;;;
aves;Jynx torquilla;Torcecuello;LISTADO;;;
aves;Picus viridis;Pito real;LISTADO;;;
aves;Calandrella brachydactyla;Terrera común ;LISTADO;;;x
aves;Calandrella rufescens;Terrera marismeña;LISTADO;;;
aves;Chersophilus duponti  ;Alondra de Dupont o ricotí;VU;AVES ESTEPARIAS;;x
aves;Galerida cristata  ;Cogujada común ;LISTADO;;;
aves;Galerida theklae;Cogujada montesina;LISTADO;;;x
aves;Lullula arborea;Totovía;LISTADO;;;x
aves;Melanocorypha calandra;Calandria común;LISTADO;;;x
aves;Delichon urbicum;Avión común;LISTADO;;;
aves;Hirundo daurica;Golondrina daúrica;LISTADO;;;
aves;Hirundo rustica;Golondrina común;LISTADO;;;
aves;Ptyonoprogne rupestris;Avión roquero;LISTADO;;;
aves;Riparia riparia;Avión zapador;LISTADO;;;
aves;Anthus campestris;Bisbita campestre;LISTADO;;;x
aves;Anthus pratensis;Bisbita común ;LISTADO;;;
aves;Anthus spinoletta;Bisbita alpino;LISTADO;;;
aves;Anthus trivialis;Bisbita arbóreo;LISTADO;;;
aves;Motacilla alba;Lavandera blanca;LISTADO;;;
aves;Motacilla cinerea;Lavandera cascadeña;LISTADO;;;
aves;Motacilla flava;Lavandera boyera;LISTADO;;;
aves;Cinclus cinclus;Mirlo acuático;LISTADO;;;
aves;Troglodytes troglodytes;Chochín;LISTADO;;;
aves;Prunella collaris;Acentor alpino;LISTADO;;;
aves;Prunella modularis;Acentor común;LISTADO;;;
aves;Cercotrichas galactotes;Alzacola;VU;;;
aves;Erithacus rubecula;Petirrojo;LISTADO;;;
aves;Luscinia megarhynchos;Ruiseñor común;LISTADO;;;
aves;Luscinia svecica;Pechiazul;LISTADO;;;x
aves;Monticola saxatilis;Roquero rojo;LISTADO;;;
aves;Monticola solitarius;Roquero solitario;LISTADO;;;
aves;Oenanthe hispanica;Collalba rubia;LISTADO;;;
aves;Oenanthe leucura;Collalba negra;LISTADO;;;x
aves;Oenanthe oenanthe;Collalba gris;LISTADO;;;
aves;Phoenicurus ochruros;Colirrojo tizón;LISTADO;;;
aves;Phoenicurus phoenicurus  ;Colirrojo real;VU;;;
aves;Saxicola rubetra;Tarabilla norteña;LISTADO;;;
aves;Saxicola torquata;Tarabilla común;LISTADO;;;
aves;Turdus torquatus;Mirlo capiblanco;LISTADO;;;
aves;Acrocephalus arundinaceus;Carricero tordal;LISTADO;;;
aves;Acrocephalus melanopogon;Carricerín real;LISTADO;;;x
aves;Acrocephalus paludicola;Carricerín cejudo;LISTADO;;;x
aves;Acrocephalus schoenobaenus;Carricerín común;LISTADO;;;
aves;Acrocephalus scirpaceus;Carricero común;LISTADO;;;
aves;Cettia cetti;Ruiseñor bastardo;LISTADO;;;
aves;Cisticola juncidis;Buitrón;LISTADO;;;
aves;Hippolais pallida;Zarcero pálido;LISTADO;;;
aves;Hippolais polyglotta;Zarcero común;LISTADO;;;
aves;Locustella luscinioides;Buscarla unicolor;LISTADO;;;
aves;Locustella naevia;Buscarla pintoja;LISTADO;;;
aves;Phylloscopus bonelli;Mosquitero papialbo;LISTADO;;;
aves;Phylloscopus collybita;Mosquitero común ;LISTADO;;;
aves;Phylloscopus ibericus;Mosquitero ibérico;LISTADO;;;
aves;Phylloscopus sibilatrix;Mosquitero silbador;LISTADO;;;
aves;Phylloscopus trochilus;Mosquitero musical;LISTADO;;;
aves;Regulus ignicapillus;Reyezuelo listado;LISTADO;;;
aves;Regulus regulus;Reyezuelo sencillo;LISTADO;;;
aves;Sylvia atricapilla;Curruca capirotada;LISTADO;;;
aves;Sylvia borin;Curruca mosquitera;LISTADO;;;
aves;Sylvia cantillans;Curruca carrasqueña;LISTADO;;;
aves;Sylvia communis;Curruca zarcera;LISTADO;;;
aves;Sylvia conspicillata;Curruca tomillera;LISTADO;;;
aves;Sylvia hortensis;Curruca mirlona ;LISTADO;;;
aves;Sylvia melanocephala;Curruca cabecinegra;LISTADO;;;
aves;Sylvia undata;Curruca rabilarga;LISTADO;;;x
aves;Ficedula hypoleuca;Papamoscas cerrojillo;LISTADO;;;
aves;Muscicapa striata;Papamoscas gris;LISTADO;;;
aves;Aegithalos caudatus  ;Mito;LISTADO;;;
aves;Periparus ater ;Carbonero garrapinos;LISTADO;;;
aves;Cyanistes caeruleus ;Herrerillo común;LISTADO;;;
aves;Lophophanes cristatus;Herrerillo capuchino;LISTADO;;;
aves;Parus major;Carbonero común;LISTADO;;;
aves;Sitta europaea;Trepador azul;LISTADO;;;
aves;Tichodroma muraria  ;Treparriscos;LISTADO;;;
aves;Certhia brachydactyla;Agateador común;LISTADO;;;
aves;Remiz pendulinus  ;Pájaro moscón;LISTADO;;;
aves;Oriolus oriolus;Oropéndola;LISTADO;;;
aves;Lanius meridionalis ;Alcaudón real meridional;LISTADO;;;
aves;Lanius senator;Alcaudón común;LISTADO;;;
aves;Cyanopica cyanus;Rabilargo;LISTADO;;;
aves;Pyrrhocorax pyrrhocorax;Chova piquirroja;LISTADO;;;x
aves;Petronia petronia;Gorrión chillón;LISTADO;;;
aves;Bucanetes githagineus;Camachuelo trompetero;LISTADO;;;x
aves;Carduelis spinus;Lúgano;LISTADO;;;
aves;Coccothraustes coccothraustes;Picogordo;LISTADO;;;
aves;Fringilla montifringilla ;Pinzón real;LISTADO;;;
aves;Loxia curvirostra;Piquituerto común;LISTADO;;;
aves;Pyrrhula pyrrhula  ;Camachuelo común ;LISTADO;;;
aves;Serinus citrinella;Verderón serrano;LISTADO;;;
aves;Emberiza cia;Escribano montesino;LISTADO;;;
aves;Emberiza cirlus;Escribano soteño;LISTADO;;;
aves;Emberiza hortulana;Escribano hortelano;LISTADO;;;x
aves;Emberiza schoeniclus schoeniclus;Escribano palustre;LISTADO;;;
invertebrados;Austropotamobius pallipes;                                                                                                                                                 ;EN;PECES E INVERTEBRADOS EPICONTINENTALES;II,V;
invertebrados;Agryades zullichi;Mariposa del puerto del lobo;EN;ALTAS CUMBRES;;
invertebrados;Buprestis splendens ;;VU;;II, IV;
invertebrados;Cerambyx cerdo;;LISTADO;;II, IV;
invertebrados;Euphydryas aurinia;;LISTADO;;II;
invertebrados;Graellsia isabelae;;LISTADO;;II,V;
invertebrados;Parnassius apollo;;LISTADO;;IV;
invertebrados;Polyommatus golgus;Niña de Sierra Nevada;EN;ALTAS CUMBRES;II, IV;
invertebrados;Proserpinus proserpina;;LISTADO;;IV;
invertebrados;Apteromantis aptera;;LISTADO;;II, IV;
invertebrados;Coenagrion mercuriale;;LISTADO;;II;
invertebrados;Gomphus graslinii;;VU;PECES E INVERTEBRADOS EPICONTINENTALES;II, IV;
invertebrados;Macromia splendens;Libélula;EN;PECES E INVERTEBRADOS EPICONTINENTALES;II, IV;
invertebrados;Oxygastra curtisii;Libélula;VU;PECES E INVERTEBRADOS EPICONTINENTALES;II, IV;
invertebrados;Baetica ustulata                         ;Chicharra de montaña;VU;ALTAS CUMBRES;II, IV;
invertebrados;Macrothele calpeiana;;LISTADO;;IV;
invertebrados;Ranella olearia ;;LISTADO (Mediterráneo);;;
invertebrados;Charonia lampas lampas ;Caracola;VU;;;
invertebrados;Charonia tritonis variegata ;Bucio;LISTADO (Mediterráneo);;;
invertebrados;Cymbula nigra;;LISTADO (Mediterráneo);;;
invertebrados;Dendropoma petraeum;;VU;;;
invertebrados;Erosaria spurca;;LISTADO (Mediterráneo);;;
invertebrados;Luria lurida;;LISTADO (Mediterráneo);;;
invertebrados;Mitra zonata;;LISTADO (Mediterráneo);;;
invertebrados;Patella ferruginea  ;Lapa ferruginea;EN;;IV;
invertebrados;Schilderia achatidea;;LISTADO (Mediterráneo);;;
invertebrados;Zonaria pyrum;;LISTADO (Mediterráneo);;;
invertebrados;Lithophaga lithophaga;;LISTADO (Mediterráneo);;IV;
invertebrados;Pholas dactylus;;LISTADO (Mediterráneo);;;
invertebrados;Pinna nobilis;Nacra, Nácar;VU;;IV;
invertebrados;Pinna rudis;;LISTADO (Mediterráneo);;;
invertebrados;Unio tumidiformis (antes U. crassus);;VU;PECES E INVERTEBRADOS EPICONTINENTALES;II, IV;
invertebrados;Unio gibbus;;VU;PECES E INVERTEBRADOS EPICONTINENTALES;;
invertebrados;Asterina pancerii                   ;Estrella del capitán pequeña;LISTADO;;;
invertebrados;Centrostephanus longispinus;;LISTADO;;IV;
invertebrados;Ophidiaster ophidianus;Estrella púrpura;LISTADO (Mediterráneo);;;
invertebrados;Astroides calycularis ;Coral naranja;VU;;;
invertebrados;Errina aspera;;LISTADO (Mediterráneo);;;
